,model,MP@10,MR@10,MP@20,MR@20,MP@30,MR@30
0,google/vit-base-patch16-224,0.008469945355191258,0.00266607377739669,0.006352459016393442,0.0037388643183534527,0.004918032786885246,0.004235271372137556
1,microsoft/swin-tiny-patch4-window7-224,0.007308743169398907,0.0023934897934135444,0.005293715846994535,0.0033018926294755497,0.004234972677595628,0.003843458806764182
2,facebook/deit-base-distilled-patch16-224,0.007240437158469944,0.00237884406298436,0.005532786885245902,0.003580573667306416,0.004432301153612629,0.004174441776106537
3,microsoft/resnet-50,0.007035519125683061,0.002279725479544389,0.005327868852459017,0.0033922913688449333,0.004417122040072859,0.0040780547607177425
