,model,MP@10,MR@10,MP@20,MR@20,MP@30,MR@30
0,google/vit-base-patch16-224,0.00819672131147541,0.0026032897363434913,0.006215846994535519,0.0036800661038175336,0.004872495446265938,0.00420899982947257
1,microsoft/swin-tiny-patch4-window7-224,0.007308743169398907,0.002423520232326942,0.005191256830601092,0.003256230186272123,0.004212204007285974,0.00383032303543169
2,facebook/deit-base-distilled-patch16-224,0.007285974499089253,0.002405536493412971,0.005418943533697631,0.003451022991307653,0.004386763812993321,0.00406449050495308
3,microsoft/resnet-50,0.007001366120218579,0.0022704082463899464,0.005242486338797814,0.003295128361845861,0.0043943533697632054,0.004003722975320383
